year_of_release,2600,3DO,3DS,DC,DS,GB,GBA,GC,GEN,GG,N64,NES,NG,PC,PCFX,PS,PS2,PS3,PS4,PSP,PSV,SAT,SCD,SNES,TG16,WS,Wii,WiiU,X360,XB,XOne
1980,11.379999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,35.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,28.880000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,5.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,0.44999999999999996,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,53.440000000000005,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.759999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,0.74,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,45.010000000000005,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,0.6300000000000001,0.0,0.0,0.0,0.0,64.97,0.0,0.0,0.0,0.0,0.0,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,0.0,0.0,0.0,0.0,0.0,4.89,0.0,0.0,2.6,0.0,0.0,15.729999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.150000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.0,5.57,0.0,0.0,4.33,0.0,0.0,6.109999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.220000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,25.49,0.0,0.0,12.64,0.04,0.0,1.9800000000000002,0.0,3.0300000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,3.61,0.21000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,40.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,0.0,0.02,0.0,0.0,0.0,12.18,0.0,0.0,8.129999999999999,0.0,0.0,0.11,0.8,12.87,0.0,6.03,0.0,0.0,0.0,0.0,0.0,3.65,0.36000000000000004,35.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,0.0,0.08,0.0,0.0,0.0,3.5999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.33,4.22,0.0,35.96,0.0,0.0,0.0,0.0,0.0,11.57,0.0,32.199999999999996,0.16,0.0,0.0,0.0,0.0,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.0,36.03,0.0,0.0,0.0,0.0,34.1,0.0,0.1,10.58,0.03,94.7,0.0,0.0,0.0,0.0,0.0,7.69,0.0,15.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.0,6.37,0.0,0.0,0.0,0.0,39.5,0.0,0.0,11.27,0.0,136.17000000000002,0.0,0.0,0.0,0.0,0.0,6.7700000000000005,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,0.0,0.0,0.0,3.3800000000000003,0.0,26.9,0.0,0.0,0.0,0.0,49.24,0.0,0.0,3.2600000000000002,0.0,169.49,0.0,0.0,0.0,0.0,0.0,3.82,0.0,0.22000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,0.0,0.0,0.0,5.16,0.0,38.0,0.0,0.0,0.0,0.0,57.87,0.0,0.0,4.74,0.0,144.53,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.26,0.0,0.46,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,5.99,0.0,19.76,0.07,0.0,0.0,0.0,33.97,0.0,0.0,4.659999999999999,0.0,96.37,39.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.99,0.0
2001,0.0,0.0,0.0,1.07,0.0,9.24,61.53,26.34,0.0,0.0,3.25,0.0,0.0,5.470000000000001,0.0,35.59,166.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,22.26,0.0
2002,0.0,0.0,0.0,0.29,0.0,0.0,74.16,51.81,0.0,0.0,0.08,0.0,0.0,8.57,0.0,6.67,205.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.59,0.0
2003,0.0,0.0,0.0,0.0,0.0,0.0,56.67,50.910000000000004,0.0,0.0,0.0,0.0,0.0,8.84,0.0,2.0700000000000003,185.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.400000000000006,0.0
2004,0.0,0.0,0.0,0.0,17.27,0.0,77.91,28.82,0.0,0.0,0.0,0.0,0.0,10.39,0.0,0.0,220.55,0.0,0.0,7.0600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.42,0.0
2005,0.0,0.0,0.0,0.0,130.14,0.0,33.86,27.62,0.0,0.0,0.0,0.0,0.0,4.37,0.0,0.0,160.98,0.0,0.0,43.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25,49.230000000000004,0.0
2006,0.0,0.0,0.0,0.0,119.81,0.0,5.28,11.26,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,106.46,20.96,0.0,55.32,0.0,0.0,0.0,0.0,0.0,0.0,137.15,0.0,51.620000000000005,10.040000000000001,0.0
2007,0.0,0.0,0.0,0.02,146.94,0.0,3.4,0.27,0.0,0.0,0.0,0.0,0.0,9.28,0.0,0.0,75.99,73.19,0.0,46.93,0.0,0.0,0.0,0.0,0.0,0.0,152.77,0.0,95.42,0.55,0.0
2008,0.0,0.0,0.0,0.04,145.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.42,0.0,0.0,53.9,118.52,0.0,34.56,0.0,0.0,0.0,0.0,0.0,0.0,171.32,0.0,135.26,0.18000000000000002,0.0
2009,0.0,0.0,0.0,0.0,119.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.91,0.0,0.0,26.4,130.93,0.0,38.58,0.0,0.0,0.0,0.0,0.0,0.0,206.97,0.0,120.29,0.0,0.0
2010,0.0,0.0,0.0,0.0,85.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.28,0.0,0.0,5.64,142.17,0.0,35.04,0.0,0.0,0.0,0.0,0.0,0.0,127.95,0.0,170.03,0.0,0.0
2011,0.0,0.0,63.199999999999996,0.0,26.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.03,0.0,0.0,0.45,156.78,0.0,17.82,4.63,0.0,0.0,0.0,0.0,0.0,59.65,0.0,143.89,0.0,0.0
2012,0.0,0.0,51.36000000000001,0.0,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.22,0.0,0.0,0.0,107.36,0.0,7.69,16.19,0.0,0.0,0.0,0.0,0.0,21.71,17.560000000000002,99.74000000000001,0.0,0.0
2013,0.0,0.0,56.57,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.73,0.0,0.0,0.0,113.25,25.99,3.14,10.59,0.0,0.0,0.0,0.0,0.0,8.59,21.650000000000002,88.58,0.0,18.96
2014,0.0,0.0,43.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.280000000000001,0.0,0.0,0.0,47.760000000000005,100.0,0.24,11.9,0.0,0.0,0.0,0.0,0.0,3.75,22.03,34.74,0.0,54.07
2015,0.0,0.0,27.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.520000000000001,0.0,0.0,0.0,16.82,118.9,0.12,6.25,0.0,0.0,0.0,0.0,0.0,1.14,16.35,11.959999999999999,0.0,60.14
2016,0.0,0.0,15.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.0,0.0,0.0,3.6,69.25,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.18,4.6000000000000005,1.52,0.0,26.150000000000002
